,driverId,year,date,points
154,1,2017,2017-04-09,25.0
155,1,2017,2017-04-16,18.0
156,1,2017,2017-04-30,12.0
157,1,2017,2017-05-14,25.0
158,1,2017,2017-05-28,6.0
159,1,2017,2017-06-11,25.0
160,1,2017,2017-06-25,10.0
161,1,2017,2017-07-09,12.0
162,1,2017,2017-07-16,25.0
163,1,2017,2017-07-30,12.0
164,1,2017,2017-08-27,25.0
165,1,2017,2017-09-03,25.0
166,1,2017,2017-09-17,25.0
167,1,2017,2017-10-01,18.0
168,1,2017,2017-10-08,25.0
169,1,2017,2017-10-22,25.0
170,1,2017,2017-10-29,2.0
171,1,2017,2017-11-12,12.0
172,1,2017,2017-11-26,18.0
173,1,2018,2018-03-25,18.0
174,1,2018,2018-04-08,15.0
175,1,2018,2018-04-15,12.0
176,1,2018,2018-04-29,25.0
177,1,2018,2018-05-13,25.0
178,1,2018,2018-05-27,15.0
179,1,2018,2018-06-10,10.0
180,1,2018,2018-06-24,25.0
181,1,2018,2018-07-01,0.0
182,1,2018,2018-07-08,18.0
183,1,2018,2018-07-22,25.0
184,1,2018,2018-07-29,25.0
185,1,2018,2018-08-26,18.0
186,1,2018,2018-09-02,25.0
187,1,2018,2018-09-16,25.0
188,1,2018,2018-09-30,25.0
189,1,2018,2018-10-07,25.0
190,1,2018,2018-10-21,15.0
191,1,2018,2018-10-28,12.0
192,1,2018,2018-11-11,25.0
193,1,2018,2018-11-25,25.0
194,1,2019,2019-03-17,18.0
195,1,2019,2019-03-31,25.0
196,1,2019,2019-04-14,25.0
197,1,2019,2019-04-28,18.0
198,1,2019,2019-05-12,26.0
199,1,2019,2019-05-26,25.0
200,1,2019,2019-06-09,25.0
201,1,2019,2019-06-23,25.0
202,1,2019,2019-06-30,10.0
203,1,2019,2019-07-14,26.0
204,1,2019,2019-07-28,2.0
205,1,2019,2019-08-04,25.0
206,1,2019,2019-09-01,18.0
207,1,2019,2019-09-08,16.0
208,1,2019,2019-09-22,12.0
209,1,2019,2019-09-29,26.0
210,1,2019,2019-10-13,16.0
211,1,2019,2019-10-27,25.0
212,1,2019,2019-11-03,18.0
213,1,2019,2019-11-17,6.0
214,1,2019,2019-12-01,26.0
215,1,2020,2020-07-05,12.0
216,1,2020,2020-07-12,25.0
217,1,2020,2020-07-19,26.0
218,1,2020,2020-08-02,25.0
219,1,2020,2020-08-09,19.0
220,1,2020,2020-08-16,25.0
221,1,2020,2020-08-30,25.0
222,1,2020,2020-09-06,7.0
223,1,2020,2020-09-13,26.0
224,1,2020,2020-09-27,15.0
225,1,2020,2020-10-11,25.0
226,1,2020,2020-10-25,26.0
227,1,2020,2020-11-01,26.0
228,1,2020,2020-11-15,25.0
229,1,2020,2020-11-29,25.0
230,1,2020,2020-12-06,0.0
231,1,2020,2020-12-13,15.0
232,1,2021,2021-04-18,19.0
233,1,2021,2021-03-28,25.0
234,1,2021,2021-11-21,25.0
235,1,2021,2021-05-02,25.0
236,1,2021,2021-05-09,25.0
237,1,2021,2021-05-23,7.0
238,1,2021,2021-06-06,0.0
239,1,2021,2021-06-27,19.0
240,1,2021,2021-06-20,18.0
241,1,2021,2021-07-04,12.0
242,1,2021,2021-07-18,25.0
243,1,2021,2021-08-01,18.0
244,1,2021,2021-08-29,7.5
245,1,2021,2021-09-05,19.0
246,1,2021,2021-09-12,0.0
247,1,2021,2021-09-26,25.0
248,1,2021,2021-10-10,10.0
249,1,2021,2021-10-24,19.0
250,1,2021,2021-11-07,18.0
251,1,2021,2021-11-14,25.0
252,1,2021,2021-12-05,26.0
253,1,2021,2021-12-12,18.0
